airport_id,name,city,country,iata,icao,latitude,longitude,altitude
981,Mocímboa da Praia Airport,Mocimboa Da Praia,Mozambique,MZB,FQMP,-11.36180019,40.35490036,89
982,Marrupa Airport,Marrupa,Mozambique,,FQMR,-13.22509956,37.55210114,2480
983,Nacala Airport,Nacala,Mozambique,MNC,FQNC,-14.48820019,40.71220016,410
984,Nampula Airport,Nampula,Mozambique,APL,FQNP,-15.10560036,39.28179932,1444
985,Pemba Airport,Pemba,Mozambique,POL,FQPB,-12.99176216,40.52401352,331
986,Quelimane Airport,Quelimane,Mozambique,UEL,FQQL,-17.85549927,36.86909866,36
987,Songo Airport,Songo,Mozambique,,FQSG,-15.60270023,32.77320099,2904
988,Chingozi Airport,Tete,Mozambique,TET,FQTT,-16.10479927,33.64020157,525
989,Ulongwe Airport,Ulongwe,Mozambique,,FQUG,-14.70460033,34.35240173,4265
990,Vilankulo Airport,Vilankulu,Mozambique,VNX,FQVL,-22.01840019,35.31330109,46
991,Alphonse Airport,Alphonse,Seychelles,,FSAL,-7.00478,52.7262,10
992,Desroches Airport,Desroches,Seychelles,DES,FSDR,-5.6967,53.6558,10
993,Farquhar Airport,Farquhar,Seychelles,,FSFA,-10.1096,51.176102,10
994,Seychelles International Airport,Mahe,Seychelles,SEZ,FSIA,-4.67434,55.521801,10
995,Praslin Airport,Praslin,Seychelles,PRI,FSPP,-4.3192901610000005,55.69139862,10
996,Coetivy Airport,Coetivy,Seychelles,,FSSC,-7.13457,56.278197999999996,10
997,Abeche Airport,Abeche,Chad,AEH,FTTC,13.84700012,20.84429932,1788
998,Moundou Airport,Moundou,Chad,MQQ,FTTD,8.624409676,16.07139969,1407
999,N'Djamena International Airport,N'djamena,Chad,NDJ,FTTJ,12.1337,15.034,968
1000,Faya Largeau Airport,Faya-largeau,Chad,FYT,FTTY,17.91710091,19.11109924,771
1001,Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,BUQ,FVBU,-20.017401,28.617901,4359
1002,Charles Prince Airport,Harare,Zimbabwe,,FVCP,-17.75160027,30.92469978,4845
1003,Buffalo Range Airport,Chiredzi,Zimbabwe,BFO,FVCZ,-21.008101,31.5786,1421
1004,Victoria Falls International Airport,Victoria Falls,Zimbabwe,VFA,FVFA,-18.09589958,25.8390007,3490
1005,Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,HRE,FVHA,-17.931801,31.0928,4887
1006,Kariba International Airport,Kariba,Zimbabwe,KAB,FVKB,-16.51980019,28.88500023,1706
1007,Mutoko Airport,Mutoko,Zimbabwe,,FVMT,-17.43190002,32.18450165,3950
1008,Mutare Airport,Mutare,Zimbabwe,UTA,FVMU,-18.99749947,32.62720108,3410
1009,Masvingo International Airport,Masvingo,Zimbabwe,MVZ,FVMV,-20.05529976,30.85910034,3595
1010,Zvishavane Airport,Zvishavane,Zimbabwe,,FVSH,-20.28949928,30.08819962,3012
1011,Thornhill Air Base,Gwert,Zimbabwe,GWE,FVTL,-19.43639946,29.86190033,4680
1012,Hwange National Park Airport,Hwange National Park,Zimbabwe,HWN,FVWN,-18.62989998,27.02099991,3543
1013,Chileka International Airport,Blantyre,Malawi,BLZ,FWCL,-15.67910004,34.97399902,2555
1014,Karonga Airport,Karonga,Malawi,KGJ,FWKA,-9.953570366000001,33.89300156,1765
1015,Kasungu Airport,Kasungu,Malawi,KBQ,FWKG,-13.014599800000001,33.46860123,3470
1016,Lilongwe International Airport,Lilongwe,Malawi,LLW,FWKI,-13.789400099999998,33.78099823,4035
1017,Mzuzu Airport,Mzuzu,Malawi,ZZU,FWUU,-11.44470024,34.01179886,4115
1018,Moshoeshoe I International Airport,Maseru,Lesotho,MSU,FXMM,-29.46229935,27.55249977,5348
1019,Mejametalana Airbase,Maseru,Lesotho,,FXMU,-29.30410004,27.50349998,5105
1020,Ndjili International Airport,Kinshasa,Congo (Kinshasa),FIH,FZAA,-4.38575,15.4446,1027
1021,Ndolo Airport,Kinshasa,Congo (Kinshasa),NLO,FZAB,-4.326660156,15.32750034,915
1022,Muanda Airport,Muanda,Congo (Kinshasa),MNB,FZAG,-5.930860042999999,12.35179996,89
1023,Kitona Base Airport,Kitona Base,Congo (Kinshasa),,FZAI,-5.918059826,12.44769955,394
1024,Bandundu Airport,Bandoundu,Congo (Kinshasa),FDU,FZBO,-3.3113200660000004,17.38170052,1063
1025,Kikwit Airport,Kikwit,Congo (Kinshasa),KKW,FZCA,-5.035769939,18.78560066,1572
1026,Mbandaka Airport,Mbandaka,Congo (Kinshasa),MDK,FZEA,0.022600001,18.288700100000003,1040
1027,Gbadolite Airport,Gbadolite,Congo (Kinshasa),BDT,FZFD,4.2532100680000005,20.97529984,1509
1028,Gemena Airport,Gemena,Congo (Kinshasa),GMA,FZFK,3.235369921,19.77129936,1378
1029,Kotakoli Airport,Kotakoli,Congo (Kinshasa),KLI,FZFP,4.15763998,21.65089989,1801
1030,Lisala Airport,Lisala,Congo (Kinshasa),LIQ,FZGA,2.17066,21.496901,1509
1031,Bangoka International Airport,Kisangani,Congo (Kinshasa),FKI,FZIC,0.481638998,25.33799934,1417
1032,Matari Airport,Isiro,Congo (Kinshasa),IRP,FZJH,2.8276100160000004,27.588300699999998,2438
1033,Bunia Airport,Bunia,Congo (Kinshasa),BUX,FZKA,1.565719962,30.220800399999995,4045
1034,Buta Zega Airport,Buta Zega,Congo (Kinshasa),BZU,FZKJ,2.818350077,24.79369926,1378
1035,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY,FZMA,-2.308979988,28.80879974,5643
1036,Goma International Airport,Goma,Congo (Kinshasa),GOM,FZNA,-1.6708099840000001,29.2385006,5089
1037,Kindu Airport,Kindu,Congo (Kinshasa),KND,FZOA,-2.919179916,25.91539955,1630
1038,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa),FBM,FZQA,-11.59130001,27.53089905,4295
1039,Kolwezi Airport,Kolwezi,Congo (Kinshasa),KWZ,FZQM,-10.76589966,25.50569916,5007
1040,Kalemie Airport,Kalemie,Congo (Kinshasa),FMI,FZRF,-5.875559807,29.25,2569
1041,Kamina Base Airport,Kamina Base,Congo (Kinshasa),KMN,FZSA,-8.642020226,25.25289917,3543
1042,Kananga Airport,Kananga,Congo (Kinshasa),KGA,FZUA,-5.9000501629999995,22.46920013,2139
1043,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),MJM,FZWA,-6.121240139,23.56900024,2221
1044,Modibo Keita International Airport,Bamako,Mali,BKO,GABS,12.5335,-7.94994,1247
1045,Gao Airport,Gao,Mali,GAQ,GAGO,16.24839973,-0.005456,870
1046,Kayes Dag Dag Airport,Kayes,Mali,KYS,GAKY,14.48120022,-11.40439987,164
1047,Mopti Airport,Mopti,Mali,MZI,GAMB,14.51280022,-4.079559803,906
1048,Timbuktu Airport,Tombouctou,Mali,TOM,GATB,16.73049927,-3.007580042,863
1049,Tessalit Airport,Tessalit,Mali,,GATS,20.24300003,0.977307975,1621
1050,Banjul International Airport,Banjul,Gambia,BJL,GBYD,13.3380003,-16.652200699999998,95
1051,Fuerteventura Airport,Fuerteventura,Spain,FUE,GCFV,28.45269966,-13.86380005,85
1052,Hierro Airport,Hierro,Spain,VDE,GCHI,27.81480026,-17.88710022,103
1053,La Palma Airport,Santa Cruz De La Palma,Spain,SPC,GCLA,28.626499,-17.7556,107
1054,Gran Canaria Airport,Gran Canaria,Spain,LPA,GCLP,27.93190002,-15.38659954,78
1055,Lanzarote Airport,Arrecife,Spain,ACE,GCRR,28.945498999999998,-13.6052,46
