airline_name,date,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,recommended
aerolineas-argentinas,2015-06-04,Economy,7.0,4.0,4.0,4.0,4.0,4.0,1
aerolineas-argentinas,2015-05-31,Economy,9.0,4.0,5.0,3.0,0.0,4.0,1
aer-lingus,2014-10-22,Economy,9.0,4.0,4.0,4.0,4.0,4.0,1
aer-lingus,2014-10-12,Economy,9.0,4.0,4.0,4.0,0.0,4.0,1
aer-lingus,2014-10-12,Economy,4.0,2.0,1.0,3.0,4.0,3.0,0
aer-lingus,2014-10-12,Economy,6.0,4.0,3.0,3.0,1.0,4.0,1
aeroflot-russian-airlines,2015-04-10,Economy,10.0,4.0,5.0,4.0,5.0,5.0,1
aeroflot-russian-airlines,2015-04-03,Economy,9.0,4.0,5.0,4.0,5.0,5.0,1
aeroflot-russian-airlines,2015-03-25,Economy,4.0,3.0,3.0,2.0,4.0,4.0,0
aegean-airlines,2013-12-23,Economy,10.0,4.0,5.0,4.0,4.0,4.0,1
aegean-airlines,2013-11-27,Business Class,10.0,5.0,5.0,5.0,5.0,5.0,1
aegean-airlines,2013-11-21,Economy,10.0,5.0,5.0,4.0,4.0,5.0,1
aerolineas-argentinas,2015-05-11,Economy,3.0,1.0,2.0,3.0,1.0,2.0,0
aerolineas-argentinas,2015-04-30,Business Class,5.0,5.0,5.0,4.0,3.0,5.0,1
aerolineas-argentinas,2015-03-09,Business Class,10.0,5.0,5.0,5.0,4.0,5.0,1
aer-lingus,2014-10-05,Economy,8.0,4.0,5.0,4.0,0.0,4.0,1
aer-lingus,2014-10-05,Economy,7.289817232375979,3.0,5.0,3.0,4.0,3.0,1
aeroflot-russian-airlines,2015-03-09,Economy,2.0,2.0,1.0,2.0,2.0,2.0,0
aeroflot-russian-airlines,2015-03-04,Economy,6.0,4.0,3.0,3.0,4.0,5.0,1
aegean-airlines,2013-10-20,Economy,9.0,5.0,5.0,5.0,1.0,4.0,1
aegean-airlines,2013-10-13,Economy,10.0,5.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2013-10-13,Economy,9.0,5.0,4.0,3.0,4.0,5.0,1
aerolineas-argentinas,2015-02-24,Economy,1.0,1.0,1.0,2.0,3.0,2.0,0
aerolineas-argentinas,2015-01-19,Economy,1.0,3.0,1.0,2.0,3.0,1.0,0
aerolineas-argentinas,2015-01-14,Business Class,8.0,4.0,5.0,5.0,4.0,5.0,1
aerolineas-argentinas,2014-12-22,Economy,10.0,3.0,5.0,4.0,1.0,4.0,1
aer-lingus,2014-09-28,Economy,5.0,1.0,1.0,1.0,4.0,2.0,0
aer-lingus,2014-09-24,Economy,4.0,2.0,3.0,3.0,0.0,3.0,0
aer-lingus,2014-09-18,Economy,5.0,3.0,2.0,1.0,2.0,3.0,0
aeroflot-russian-airlines,2015-02-18,Economy,3.0,2.0,1.0,1.0,4.0,3.0,0
aeroflot-russian-airlines,2015-02-18,Economy,9.0,4.0,5.0,5.0,3.0,5.0,1
aeroflot-russian-airlines,2015-02-18,Economy,7.0,3.0,3.0,1.0,4.0,5.0,1
aeroflot-russian-airlines,2015-02-18,Economy,8.0,4.0,4.0,5.0,4.0,5.0,1
aegean-airlines,2013-10-10,Economy,9.0,4.0,4.0,4.0,3.0,5.0,1
aegean-airlines,2013-10-09,Economy,3.0,4.0,2.0,4.0,4.0,1.0,0
aegean-airlines,2013-10-09,Economy,7.823788546255507,5.0,2.0,2.0,0.0,0.0,0
aerolineas-argentinas,2014-12-10,Economy,5.123287671232877,1.0,1.0,2.0,4.0,1.0,0
aerolineas-argentinas,2014-12-10,Premium Economy,8.0,5.0,5.0,3.0,0.0,3.0,1
aerolineas-argentinas,2014-12-10,Economy,8.0,4.0,4.0,4.0,1.0,5.0,1
aerolineas-argentinas,2014-10-28,Business Class,7.0,3.0,4.0,3.0,3.0,4.0,1
aer-lingus,2014-09-17,Economy,7.289817232375979,3.0,1.0,1.0,3.0,1.0,0
aer-lingus,2014-09-09,Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aer-lingus,2014-09-09,Economy,2.0,1.0,5.0,3.0,1.0,2.0,0
aeroflot-russian-airlines,2015-01-21,Economy,8.0,4.0,5.0,3.0,4.0,5.0,1
aeroflot-russian-airlines,2015-01-19,Economy,7.0,5.0,5.0,5.0,5.0,5.0,1
aeroflot-russian-airlines,2015-01-19,Economy,1.0,1.0,1.0,3.0,3.0,2.0,0
